Unnamed: 0;type;subtype;bedroomCount;bathroomCount;province;locality;postCode;habitableSurface;buildingCondition;buildingConstructionYear;facedeCount;floodZoneType;heatingType;kitchenType;hasLivingRoom;toiletCount;hasTerrace;epcScore;price
36;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;100.0;TO_BE_DONE_UP;1956.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;F;315000.0
37;APARTMENT;APARTMENT;3.0;3.0;Brussels;Bruxelles;1040;183.0;GOOD;1990.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;4.0;TRUE;C;795000.0
39;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;82.0;TO_RENOVATE;1959.0;;POSSIBLE_FLOOD_ZONE;GAS;SEMI_EQUIPPED;;1.0;;F;330000.0
41;HOUSE;HOUSE;5.0;3.0;Brussels;Etterbeek;1040;240.0;AS_NEW;1920.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;5.0;TRUE;G;779000.0
42;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;75.0;AS_NEW;1977.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;D;255000.0
43;APARTMENT;DUPLEX;3.0;1.0;Brussels;Etterbeek;1040;198.0;AS_NEW;2023.0;;;GAS;HYPER_EQUIPPED;;3.0;TRUE;B;995000.0
44;APARTMENT;APARTMENT;4.0;3.0;Brussels;Etterbeek;1040;239.0;GOOD;1960.0;;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;3.0;TRUE;D;1000000.0
46;APARTMENT;APARTMENT;2.0;2.0;Brussels;Etterbeek;1040;115.0;TO_BE_DONE_UP;1933.0;3.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;2.0;TRUE;C;395000.0
47;HOUSE;HOUSE;5.0;3.0;Brussels;Etterbeek;1040;252.0;GOOD;1930.0;4.0;;GAS;HYPER_EQUIPPED;TRUE;4.0;TRUE;D;795000.0
48;HOUSE;HOUSE;6.0;2.0;Brussels;Etterbeek;1040;370.0;AS_NEW;1947.0;2.0;;GAS;INSTALLED;TRUE;4.0;TRUE;D;1125000.0
51;HOUSE;HOUSE;2.0;1.0;Brussels;Etterbeek;1040;90.0;GOOD;1910.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;;2.0;;F;375000.0
52;HOUSE;MIXED_USE_BUILDING;4.0;1.0;Brussels;Etterbeek;1040;149.0;GOOD;1890.0;2.0;NON_FLOOD_ZONE;GAS;;;4.0;TRUE;G;515000.0
55;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;72.0;GOOD;1998.0;;;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;D;325000.0
56;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;50.0;JUST_RENOVATED;1920.0;3.0;;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;E;275000.0
57;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;90.0;GOOD;1910.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;;2.0;;F;375000.0
58;APARTMENT;DUPLEX;2.0;1.0;Brussels;Etterbeek;1040;111.0;JUST_RENOVATED;1920.0;3.0;;GAS;HYPER_EQUIPPED;TRUE;1.0;;E;420000.0
61;HOUSE;APARTMENT_BLOCK;4.0;4.0;Brussels;Etterbeek;1040;300.0;GOOD;1927.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;;4.0;TRUE;E;1200000.0
